2019-05-04 18:09:57,1
2019-05-04 18:10:01,0
2019-05-04 18:13:19,1
2019-05-04 18:13:22,0
2019-05-04 18:13:29,1
2019-05-04 18:13:36,0
2019-05-04 18:14:19,1
2019-05-04 18:14:22,0
2019-05-04 18:15:19,1
2019-05-04 18:15:22,0
2019-05-04 18:16:19,1
2019-05-04 18:16:24,0
2019-05-04 18:17:19,1
2019-05-04 18:17:22,0
2019-05-06 10:36:21,1
2019-05-06 10:36:24,0
2019-05-06 10:36:30,1
2019-05-06 10:36:38,0
2019-05-06 10:37:17,1
2019-05-06 10:37:26,0
2019-05-06 11:23:20,1
2019-05-06 11:23:30,0
2019-05-06 14:02:03,1
2019-05-06 14:02:07,0
2019-05-06 14:02:13,1
2019-05-06 14:02:20,0
2019-05-06 16:48:33,1
2019-05-06 16:48:39,0
